Name;Type;Ability;Description;Attack;Defense;Move;Cost;Generic;Germany;Japan;Italy;US;UK;ANZAC;Russia;France;China;Total
Rails;Base;You may move newly mobilized land units from an Industrial Complex along rail-connected territories as if they where produced in the designated territory. One Railway section costs 2IPC and counts as base.;;;;;2;60;0;0;0;0;0;0;0;0;0;60
Air Research Centre;Facility;Enables Research for Air Units, unlocks tier 4+;;;;;;8;0;0;0;0;0;0;0;0;0;8
Basic Research Facility;Facility;Unlocks tier 1 & 2 tech;;;;;;8;0;0;0;0;0;0;0;0;0;8
Energy & Physics Institute;Facility;Enables Research for Rockets and Atomic Bomb, unlocks tier 4+;;;;;;8;0;0;0;0;0;0;0;0;0;8
Industrial & Logistics Bureau;Facility;Enables Research for Econimics and Infrastructure, unlocks tier 4+;;;;;;;;;;;;;;;;
Intelligence Directorate;Facility;Enables development of various intelligence activities, unlocks tier 4+;;;;;;8;0;0;0;0;0;0;0;0;0;8
Land Warfare Research Centre;Facility;Enables Research for Land Units and Bunkers, unlocks tier 4+;;;;;;8;0;0;0;0;0;0;0;0;0;8
Naval Research Centre;Facility;Enables Research for Sea Units and Naval bases, unlocks tier 4+;;;;;;;;;;;;;;;;
Rocket Site;Base;May build Rocket sites (counts as base), which is able to build rockets. During the Strategic and Tactical Bombing Raids step of your Conduct Combat phase each turn, each of your operative rocket sites can make a single rocket attack against an enemy facility within 4 spaces of it. This attack does one die roll of damage to that facility. Rockets may not be fired over neutral territories.;;;;;;30;0;0;0;0;0;0;0;0;0;30
Rocket;Unit;To be matched with Rocket Site;;;;;;30;0;0;0;0;0;0;0;0;0;30
Sea Mine;Unit;When entering a seazone with seamines roll a d6 on a 1 resolve a hit anywhere on the fleet entering the seazone.;;;;;;20;20;20;10;20;10;10;20;10;0;140
Seaplane base;Base;Acts simulaniously as Naval Port and Airbase;;;;;;30;0;0;0;0;0;0;0;0;0;30
Spy;Unit;Spy spawns in capital (A0/D0/M2/C8) and is able to sabotage facilities, steal or cancel tech (while in enemy capital) or cancel one battle this round from the power it is currently residing (play as interrupt in enemy’s combat phase, while not having performed one of your earlier options this round.;;0;0;2;8;10;0;0;0;0;0;0;0;0;0;10
Steel;Resource;Needed to build specific units;;;;;;30;0;0;0;0;0;0;0;0;0;30
Steel Factory;Facility;Produces 1 Steel per turn;;;;;;8;0;0;0;0;0;0;0;0;0;8
Strategic Bomber;Unit;Base game;;;;;;0;0;0;0;0;0;0;0;0;0;0
Submarine Port;Base;Submarine secret harbours may be built in Neutral and enemy territories. To do so pay 10 IPC while at least one naval unit is present in the seazone during mobilization phase. If territory is or becomes occupied by one of your enemies, they roll one d6 every turn on a 1 remove the base. This base cannot be the target of bombardements.;;;;;;10;0;0;0;0;0;0;0;0;0;10
Submarine;Unit;Base game;;;;;;0;0;0;0;0;0;0;0;0;0;0
Nuclear Submarines;Unit;Nuclear Submarines may ignore first destroyer cancellation per turn. Normal submarine rules apply, all bonuses on submarines count.;;;;;;20;0;20;0;20;0;0;0;0;0;60
Ballistic Missile Submarine;Unit;Ballistic Misile Submarines can submerge after suprise attack. Normal submarine rules apply, all bonuses on submarines count.;;;;;;0;20;20;0;20;0;0;20;0;0;80
Synthetic Oil Plant;Facility;Produces 1 oil for 1 IPC;;;;;;8;0;0;0;0;0;0;0;0;0;8
Tactical Bomber;Unit;Base game;;;;;;0;0;0;0;0;0;0;0;0;0;0
Tank destroyer;Unit;Will attack @ 3 before first round of combat directed at tanks. Every tanks destroyed this way will de removed from battlefield. After that Tank destroyers count as default Mech. Inf.;;;;;;0;0;0;0;0;0;0;0;0;0;0
Tank;Unit;Base game;;;;;;0;0;0;0;0;0;0;0;0;0;0
Transport;Unit;Base game;;;;;;0;0;0;0;0;0;0;0;0;0;0
UFO;Unit;You now have developed the Hannebeau II Saucer. For 1 Vril token the UFO can move 1 infantry from one place to another (if the territory is enemy occupied, the infantry unit is in combat) OR you may move one enemy aircraft back to it’s place of origin.;;;;;;0;0;0;0;0;0;0;0;0;0;0
Uranium;Resource;Needed for production of Atomic Bomb;;;;;;30;0;0;0;0;0;0;0;0;0;30
University;Facility;You are now able to build a university, which grants 1 Research Point per turn.;;;;;10;;;;;;;;;;;
Vril;Resource;Resource to pay for the Occult inventions (restricted to Germany);;;;;;30;0;0;0;0;0;0;0;0;0;30
Research token;Resource;Represents one Research Point;;;;;;100;0;0;0;0;0;0;0;0;0;100
;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;1717
