ID;Principle;Description;Reason / Goal;Status;Related Systems
DP-039;Research capacity primarily affects breadth;Additional RP allow additional simultaneous attempts among technologies eligible at the start of the turn, but do not bypass prerequisite depth.;Prevent the research economy from undermining the technology tree.;Core architectural principle;RP, Prerequisites
DP-040;Tree and economy divide pacing responsibilities;"The technology tree provides much of the pacing through prerequisites and technological depth; the research economy controls the rate at which eligible opportunities can be attempted.";Avoid relying on variable technology prices or artificial per-turn limits as the primary pacing mechanism.;Core architectural principle;Technology tree, RP economy
DP-041;Future RP generators are modular;Additional sources or bonuses to RP—such as objectives, universities, captured research assets, espionage, etc.—should be treated as separate future modules rather than assumed core rules.;Allow the research economy to expand without destabilising its core mechanism.;Future / exploratory;Objectives, Espionage, Conquest
DP-042;Resources are distinct from technologies;Resources required, produced, consumed, or used as prerequisites—such as Aluminium, Steel, Oil, Vril, Heavy Water, and Uranium—are represented explicitly as resources rather than classified as technologies.;Preserve the semantic distinction between things that are researched and things that support, enable, or constrain technological development.;Established data-model rule;Technology tree, Resources, Dependencies
DP-043;Optionality is an independent property;Whether an item is optional is represented independently from its Category, Module, Path, or other classification.;Prevent a single classification field from carrying multiple unrelated meanings and allow optional items to participate normally in dependency and path structures.;Established data-model rule;Data model, Modules, Paths, Resources
DP-044;Paths represent analytical technological routes;Path labels identify items that participate in particular technological or dependency routes. An item may belong to multiple paths. Paths do not inherently represent mutually exclusive research programmes selected by the player.;Support strategic and visual analysis without artificially restricting items to a single research direction.;Established design principle;Technology graph, Visualisations, Filtering
DP-045;One canonical graph, multiple derived views;The complete technology graph should be constructed once from canonical data. Different visualisations, filters, highlights, and selections should be derived through view logic rather than separate copies or altered versions of the underlying technology structure.;Ensure consistency between FULL and specialised views while allowing flexible presentation and analysis.;Established architectural principle;Python, Graphviz, SVG, Web
DP-046;Global / Global Halifax compatibility;The R&D system's core rules should apply consistently to both Global 1940 and Global 1940 Halifax. For Halifax purposes, the UK is treated as a single economy, while ANZAC represents Canada, South Africa, and the normal ANZAC forces/economy collectively.;Ensure the R&D system remains compatible across both game configurations without requiring fundamentally different rulesets.;Core principle;Global 1940, Global Halifax, National economies
DP-047;Abstract strategic resources;Strategic resources may function as abstract national resources alongside IPCs without requiring physical transportation across the map. Their production may be geographically located and strategically contested while their use remains nationally accessible.;Preserve strategic competition over resources without introducing supply-line, tanker, or transport bookkeeping.;Established design principle;Resources, Economy, Oil, Operations
DP-048;Resource geography creates strategic objectives;Resource production should be connected to meaningful geographical locations where territorial control can influence strategic resource availability.;Make the map and territorial conquest economically and strategically significant.;Established design principle;Resources, Map, Economy, Warfare
DP-049;Resource development requires strategic investment;Not all available resources need be automatically productive. Resource production may require infrastructure or economic investment, creating choices between immediate military expenditure and longer-term development.;Create meaningful economic and developmental decisions.;Established design principle;Resources, Economy, Construction, R&D
DP-050;Core and technologically enhanced infrastructure are distinct;Basic resource infrastructure should remain conceptually distinct from infrastructure or capabilities enabled or improved by technological development. Basic resource systems should not require R&D to function, while R&D may expand or improve them.;Allow technology to interact with and deepen a resource system without making the basic module dependent on research.;Established design principle;Resources, Infrastructure, R&D
DP-051;Optional resource modules may have internal progression;A resource module may contain its own progression from geographical resources through infrastructure and production to operational use and technological enhancement.;Allow resource systems to create meaningful strategic depth rather than functioning solely as passive modifiers.;Established design principle;Oil, Resources, Economy, R&D
DP-052;Facilities are physical game pieces;Facilities are physical game pieces placed on the map and subject to the normal territorial and physical interactions of the game.;Integrate infrastructure directly into the strategic map and economy.;Established;
DP-053;Facilities and technologies are distinct;A facility represents a physical installation or infrastructure capability, while a technology represents researched knowledge/capability.;Maintain a clear semantic distinction between what is researched and what is built.;Established;
DP-054;Technology can unlock facilities;A technology may unlock the ability to build or purchase a facility or base.;Allow technological development to produce tangible strategic infrastructure.;Established;
DP-055;Research Centres are the facility prerequisite exception;Research Centres may be required for research eligibility. Other facility/base types do not themselves function as technology prerequisites.;Keep technological dependencies centred on technologies while allowing research infrastructure to gate research.;Established;
DP-056;Facility unlocks do not become technology dependencies;When a technology unlocks a facility, subsequent technological development normally depends on the unlocking technology rather than possession of the physical facility.;Prevent physical infrastructure ownership from unnecessarily becoming part of the technology graph.;Established;
DP-057;Facilities have physical operational states;Facilities can have states such as operational, damaged, captured, or otherwise disabled according to their individual rules.;Make infrastructure interact meaningfully with warfare and territorial control.;Established;
DP-058;Facility functions are individually defined;A facility's gameplay effect is defined by its own rules rather than by a universal assumption about what all facilities do.;Allow research centres, production facilities, resource facilities, and other infrastructure to have different roles.;Established;
DP-059;Facility classification is data-driven;Facility/base status and specialised classifications such as `RCENTER` are represented explicitly in the research data.;Allow the software and visualisations to distinguish physical infrastructure from ordinary technologies.;Established;
DP-060;Research Centre capabilities may include RP generation;A Research Centre may provide research capacity or other research-related effects when explicitly defined by its rules.;Allow universities and other research infrastructure to contribute to the research economy without making RP generation an inherent property of every facility.;Established;
DP-061;Facility costs provide balancing granularity;Technologies can unlock the ability to build or purchase facilities, while the facilities themselves have individually determined costs. Facility costs can therefore differentiate the practical impact of technologies with different levels of capability.;Provide an additional balancing lever between technological access and actual deployment of the resulting capability.;Established;
