ID;Domain_code;Tier;Domain;Name;Description;Type;Module;Category;Path;Unit;Flavour text;DepGroup1;DepGroup2;DepGroup3;DepGroup4;Remarks
F.1.05;F;1;Logistics And Industry;Supply Chain Optimization;Strategic bombing damage reduced by 1.;Upgrade;CORE;KEYSTONE;NUCLEAR, CARRIER, FIGHTER, RAIL, PRODUCTION, BATTLESHIP, INFANTRY, ROCKET;Strategic Bombers;;;;;;
F.1.06;F;1;Logistics And Industry;Fuel Efficiency;Once per turn, ignore oil cost for: 1 land attack OR 1 air mission.;Bonus;OIL;;OIL;;Reduces pressure without removing system;;;;;
F.2.01;F;2;Logistics And Industry;Standardized Parts;All newly produced units cost 1 IPC less.;Bonus;CORE;;NUCLEAR, CARRIER, FIGHTER, PRODUCTION, BATTLESHIP, INFANTRY, ROCKET;;Small industrial efficiency boost.;F.1.05;;;;
F.2.02;F;2;Logistics And Industry;Rail Coordination;You may move newly mobilized land units from an Industrial Complex along rail-connected territories as if they where produced in the designated territory. One Railway section costs 2IPC and counts as base.;Base;CORE;KEYSTONE;RAIL, PRODUCTION;Rails;Mobility bump.;F.1.04|F.1.05;;;;
F.2.03;F;2;Logistics And Industry;Increased Factory Production;Each of your industrial complexes can now produce additional units beyond their normal production ability. Major industrial complexes can mobilize up to 12 units, and minor one scan mobilize up to 4 units. Also, when repairing a damaged industrial complex, you can remove 2 damage markers for the cost of 1 IPC (in other words, half price). The maximum damage that can be applied to your industrial complexes is not increased.;Upgrade;CORE;;NUCLEAR, CARRIER, FIGHTER, PRODUCTION, BATTLESHIP, INFANTRY, ROCKET;Industrial Complex;;F.1.02|F.1.05;;;;
F.2.04;F;2;Logistics And Industry;Civil Defense Planning;Capital ignores first 2 SBR damage.;Bonus;CORE;KEYSTONE;PRODUCTION;;;F.1.01|F.1.02|F.1.03;;;;
F.2.05;F;2;Logistics And Industry;Fuel Logistics;Naval movement into hostile zones costs:  1 Oil for up to 2 sea zones;Bonus;OIL;;OIL;;Big naval buff (especially Japan/UK/USA);;;;;
F.2.06;F;2;Logistics And Industry;Protected Oil Infrastructure;Oil derricks/platforms: require 2 bombing hits to disable, repair cost reduced by 1 IPC.;Upgrade;OIL;;OIL;Oil Derrick / Oil Platform;Counters bombing strategy;;;;;
F.2.07;F;2;Logistics And Industry;Oil Platform;Build an Oil Platform for 8 IPC in an oil producing seazone to start producing the mentioned amount of oil each turn. The enemy can capture the Oil Platform by defeating you navy in this seazone and claim the platform. Available after research.;Facility;OIL;;OIL;Oil Platform;;E.1.04;;;;
F.3.01;F;3;Logistics And Industry;Industrial & Logistics Bureau;Enables Research for Econimics and Infrastructure;Facility;CORE;RCENTER;RAIL, NUCLEAR, CARRIER, FIGHTER, PRODUCTION, BATTLESHIP, INFANTRY, ROCKET;;;;;;;
F.4.01;F;4;Logistics And Industry;Strategic Rail Network;Land Units moving in interconnected rail territories get a + 2 move bonus.;Upgrade;CORE;;RAIL;Rails;;F.3.01;F.2.02;;;
F.4.02;F;4;Logistics And Industry;Industrial Relocation;Once per turn you may move a minor Industrial Complex 1 space.;Bonus;CORE;;PRODUCTION;;;F.3.01;F.2.02|F.2.04;;;
F.4.03;F;4;Logistics And Industry;Mass Production;"Non-naval unit type costs 1 IPC less.
Optional OIL: Oil derrick/platform cost reduced by 1 IPC";Bonus;CORE;KEYSTONE;NUCLEAR, CARRIER, FIGHTER, PRODUCTION, BATTLESHIP, INFANTRY, ROCKET;;;F.2.01|F.2.03;F.3.01;;;
F.4.04;F;4;Logistics And Industry;War Economy Planning;May convert 1 captured Industrial Complex to operational next turn (also major Industrial Complexes).;Bonus;CORE;;PRODUCTION;;;F.3.01;;;;
F.4.05;F;4;Logistics And Industry;Advanced Fuel Efficiency;Oil costs reduced by 50% (round up) for: Land OR air (choose each turn);Bonus;OIL;;OIL;;Massive operational flexibility;F.1.06;;;;
F.4.06;F;4;Logistics And Industry;Strategic Fuel Reserves;Oil storage cap = +10. Pay 2 IPC per needed oil: Ignore all oil penalties.;Bonus;OIL;;OIL;;“Emergency war economy” button;;;;;
F.5.01;F;5;Logistics And Industry;Armoured Trains;Railway sections have AAA.;Upgrade;CORE;;RAIL;Rails;;F.4.01;E.4.05;;;
F.5.02;F;5;Logistics And Industry;Industrial Mobilization;Industrial Complexes produce +1 unit.;Bonus;CORE;KEYSTONE;CARRIER, FIGHTER, PRODUCTION;;;F.4.03;;;;
F.5.03;F;5;Logistics And Industry;Improved Shipyards;"Your sea units are now cheaper to build. Use these revised costs:  Unit | IPC cost , Battleship | 17, Aircraft Carrier | 13, Cruiser | 9, Destroyer | 7, Transport | 6, Submarine | 5
Optional OIL: first naval action costs no oil this turn.";Upgrade;CORE;;BATTLESHIP;Naval ports;;F.4.03;;;;
F.5.04;F;5;Logistics And Industry;Mobile factories;Minor Industrial Complexes can move 1 space during movement phase;Upgrade;CORE;;PRODUCTION;Industrial Complex;;F.4.02;;;;
F.5.05;F;5;Logistics And Industry;Industrial Expansion;Capitol territories now have room for 5 facilities in stead of 4. Normal territories now have room for IPC-value + 1 facilities. Maximum for non-capitol territories stays 3.;Bonus;CORE;KEYSTONE;CARRIER, PRODUCTION;;;F.4.04;;;;
F.6.01;F;6;Logistics And Industry;Express Railway;Units may move over interconnected railways in friendly territory as if it is one move (also leading to attack).;Upgrade;CORE;;RAIL;Rails;Railway may be bought during P&R Phase;F.5.01;L.5.04;;;
F.6.02;F;6;Logistics And Industry;Megafactories;You can buy mega-factories that have no limit on placing new units (when without damage) and produce 1 free unit per turn.;Facility;CORE;;PRODUCTION;Mega-factory;;F.5.02|F.5.04|F.5.05;F.5.02;;;
F.6.03;F;6;Logistics And Industry;Advanced Assembly Lines;May build one extra free fighter per turn.;Bonus;CORE;KEYSTONE;CARRIER, FIGHTER;;;F.5.02;;;;
I.1.01;I;1;Intelligence;Germany: Enigma;Germany: While enigma is active, every turn in every first battle with every different enemy it attacks Germany has a surprise first combat round i,e, the round cannot be defended and casualties are removed from the board without firing back, similar to Submarines’ Surprise Attack.;Tech;CORE;;INTEL, ENIGMA;;;;;;;
I.1.02;I;1;Intelligence;Basic Espionage;Once per turn, peek at one opponent’s IPC total before purchases.;Bonus;CORE;;INTEL, INFANTRY;;Information edge.;;;;;
I.1.03;I;1;Intelligence;Codebreaking;Once per turn force opponent to reroll one battle round.;Bonus;CORE;;INTEL, INFANTRY;;;;;;;
I.1.04;I;1;Intelligence;Propaganda Campaign;At the end of the turn place influence marker in neutral territory (for 4 IPC or move 1 landunit in this territory and dissolve unit) and move alignment from neutral to your side on your next turn only if you have the most influence markers (enemy aligned = strict neutral => allied aligned) This will not turn Mongolian Neutrals in Russian army troops.;Bonus;CORE;;INTEL, INFANTRY;;;;;;;
I.2.01;I;2;Intelligence;UK: Alan Turing;In order to use Enigma for every battle throw a d6 to determine if enigma is working by rolling a 1.;Tech;CORE;;INTEL, ENIGMA;;;I.1.01;;;;(*) by Germany
I.2.02;I;2;Intelligence;Cryptographic Systems;Surprise attack on sea battle, one battle per turn in total. Same as submarine, but for whole fleet and not defendable by destroyers.;Bonus;CORE;;INTEL;;;I.1.02|I.1.03;;;;
I.2.03;I;2;Intelligence;Propaganda Effect on Mobilization;+1 Infantry every Purchase & Repair Phase (or depending on the amount of territories OCCUPIED);Bonus;CORE;;INTEL, INFANTRY;;;I.1.03|I.1.04;;;;
I.2.04;I;2;Intelligence;Camouflage;In one battle this turn, when defending with Land Units, they may have one surprise attack at the beginning of combat. ;Tech;CORE;;INTEL, INFANTRY;;;I.1.02|I.1.04;;;;
I.3.01;I;3;Intelligence;Intelligence Directorate;Enables development of various intelligence activities;Facility;CORE;RCENTER;INTEL, INFANTRY;Research Center;;;;;;
I.4.01;I;4;Intelligence;Espionage Networks;Sabotage an Industrial Complex on 1–2 once per turn. Then roll d6 for damage.;Bonus;CORE;KEYSTONE;INTEL;;;I.2.02|I.2.04;;;;
I.4.02;I;4;Intelligence;Signals Interception;Reduce one enemy’s air movement by 1 once per turn. Declare during your own mobilization phase.;Bonus;CORE;;INTEL;;;I.2.01|I.2.02;E.2.01|E.2.03;;;
I.4.03;I;4;Intelligence;Stealth Techniques;Disables Enemy Radar capabilities this round for 1 enemy at cost of 2 IPC;Unit;CORE;;INTEL, INFANTRY;Radar;;E.2.03|I.2.04;;;;(**) by on of your enemies
I.4.04;I;4;Intelligence;Resistance Coordination;Spawn 1 partisan in occupied original territory (once per turn). Join fight as infantry as soon as territory is attcked / fight on their own.;Upgrade;CORE;KEYSTONE;INTEL, INFANTRY;Infantry;;I.2.04|I.2.03;;;;
I.5.01;I;5;Intelligence;Counterintelligence;Ignore one successful sabotage attempt.;Bonus;CORE;;INTEL;;;I.4.01|I.4.02;;;;
I.5.02;I;5;Intelligence;Scientific Espionage;Opponent of choice must reveal one research choice. On 1 for a d6 roll cancel this research. The party spying may or may not keep this information private.;Bonus;CORE;;INTEL;;;I.4.01|I.4.03;;;;
I.5.03;I;5;Intelligence;Political Influence Operations;Where applicable reduce Intelligence actions cost by 1 IPC;Bonus;CORE;;INTEL;;;I.4.04;;;;
I.5.04;I;5;Intelligence;Mustering locals;In every non-original territory that you occupy get 1 infantry during Mobilization Phase;Bonus;CORE;;INTEL, INFANTRY;;;I.4.03|I.4.04;;;;
I.6.01;I;6;Intelligence;Counter sabotage;Cancel one existing tech of your choice from an enemy for XX IPC and a 1 on a d6 roll.;Bonus;CORE;;INTEL;;We go in. We get what we want. We come out.;F.2.04;I.5.01;;;
I.6.02;I;6;Intelligence;Espionage;Steal tech from an enemy for 2  IPC and a 1 on a d6 roll (only tech that you are enabled for);Tech;CORE;;INTEL;;;I.5.03;;;;
I.6.03;I;6;Intelligence;Sabotage;Damage 1 facility or base for 2 IPC this turn. Then roll d6 for damage.;Bonus;CORE;;INTEL;;;I.5.02|I.5.04;;;;
I.6.04;I;6;Intelligence;Reduced Bombing effect;"Strategic bombing damage reduced by 50% (round down).
Optional OIL: Oil facilities take no damage on rolls of 1–2.";Bonus;CORE;;INTEL;;;I.5.01|I.5.02;;;;
L.1.01;L;1;Land;Morale Systems;Once per turn, one land battle may ignore the first casualty taken.;Bonus;CORE;;TANK, INFANTRY;;Represents cohesion under fire.;;;;;
L.1.02;L;1;Land;Barbed wire;Infantry movement penalty. Cost is 1 IPC.;Unit;CORE;;NUCLEAR, BUNKER, TANK, INFANTRY;Barbed wire;;;;;;
L.1.03;L;1;Land;Entrenchment Doctrine;Last infantry defending in original territories may absorb 1 extra hit before removal.;Upgrade;CORE;;NUCLEAR, BUNKER, TANK, INFANTRY;Infantry;Makes homeland defense slightly stickier.;;;;;
L.1.04;L;1;Land;Barracks;Produce regular infantry (not specialized units) at the cost of 3 IPP. ;Facility;CORE;;NUCLEAR, BUNKER, TANK, INFANTRY;Barracks;;;;;;
L.1.05;L;1;Land;Mechanized Logistics;Tanks may blitz through 1 additional territory if unoccupied.;Upgrade;CORE;;TANK, INFANTRY;Tanks;;;;;;
L.2.01;L;2;Land;Czech hedgehogs;Tanks movement penalty -1;Unit;CORE;KEYSTONE;NUCLEAR, BUNKER, TANK;Czech hedgehogs;;L.1.02|L.1.03|L.1.04;;;;
L.2.02;L;2;Land;Improved Training;Infantry roll 1 die per round where one miss may be rerolled if attacking with artillery support.;Upgrade;CORE;;TANK, INFANTRY;Infantry;Small reliability boost. No raw stat change.;L.1.01|L.1.03|L.1.04;;;;
L.2.03;L;2;Land;Land mine (field);Cost 3 IPC, defend 2 times @ 2 before first round of battle against Land units but tanks, will be removed when it hits, changes owner in case territory is captured and survives battle. In case of multiple: roll all at once and distribute hits over land mines in any way: 2 hits on a 4 die roll can be appointed to one and the same land mine.;Unit;CORE;KEYSTONE;NUCLEAR, BUNKER, TANK, INFANTRY;Land mines;;L.1.02|L.1.03|L.1.05;;;;
L.2.04;L;2;Land;Tank Destroyers;Will attack @ 3 before first round of combat directed at tanks. Every tanks destroyed this way will de removed from battlefield. After that Tank destroyers count as default Mech. Inf.;Unit;CORE;;TANK, INFANTRY;Tank destroyers;;L.1.02|L.1.03|L.1.05;;;;
L.2.05;L;2;Land;Urban Warfare Training;Infantry defend at +1 in cities/VC territories.;Upgrade;CORE;;TANK, INFANTRY;Infantry;;L.1.01|L.1.05;;;;
L.2.06;L;2;Land;Field hospital;By a 1 by D6 infantry casualty return to nearest field hospital and “respawn” there (but cannot participate in movement phase). If two Field hospitals are at the same distance: owner chooses.;Facility;CORE;;NUCLEAR, BUNKER;Hospital;;L.1.02|L.1.03|L.1.04;;;;
L.3.01;L;3;Land;Land Warfare Research Center;Enables Research for Land Units and Bunkers;Facility;CORE;RCENTER;NUCLEAR, BUNKER, RAIL, TANK, INFANTRY;Research Center;;X.L.02;;;;
L.4.01;L;4;Land;Bunkers;Absorbs 1 hit every round in battle as long as at least one land unit present. Can be destroyed by 5 damage from (tactical) bombing.;Base;CORE;KEYSTONE;NUCLEAR, BUNKER;Bunkers;;L.2.01|L.2.03|L.2.06;;;;
L.4.02;L;4;Land;Mechanized Warfare Doctrine;Mechanized Infantry and Infantry may move +1;Upgrade;CORE;KEYSTONE;TANK, INFANTRY;Tanks;;L.2.01|L.2.02|L.2.05;;;;
L.4.03;L;4;Land;Advanced Artillery;Each of your artillery units can now provide greater support. One artillery unit can support up to 2 infantry and/or mechanized infantry units per attack. Up to 2 infantry and/or mechanized infantry units when coupled with 1 artillery unit have attack values of 2.;Upgrade;CORE;KEYSTONE;RAIL, TANK, INFANTRY;Artillery;;L.2.01|L.2.03|L.2.04;;;;
L.5.01;L;5;Land;Concrete bunkers;Every round attacker must sacrifice one land unit;Upgrade;CORE;;NUCLEAR, BUNKER;Bunkers;;L.4.01;;;;
L.5.02;L;5;Land;Enforced bunkers;Bunkers get AAA;Upgrade;CORE;;NUCLEAR, BUNKER;Bunkers;;L.4.01;;;;
L.5.03;L;5;Land;Self-Propelled Artillery;Artillery may Blitz and move +1 (like tanks) and support up to two Infantry;Upgrade;CORE;;RAIL;Artillery;;L.4.03;;;;
L.5.04;L;5;Land;Improved Artillery;Artillery may support 2 Mechanized infantry.;Upgrade;CORE;;RAIL, INFANTRY;Artillery;;F.4.03;L.4.03;;;
L.5.05;L;5;Land;Improved Mechanized Infantry;Each of your mechanized infantry units that is paired up with a tank or an artillery now has an attack value of 2. Also, your mechanized infantry may now blitz.;Upgrade;CORE;;INFANTRY;Mechanized Infantry;;L.4.02;;;;
L.5.06;L;5;Land;Marines;Marines on transport “arm” the transport +1 attack and +2 defense for every marine aboard add 1 hitpoint to transport. Attack is same as Infantry + 1.;Unit;CORE;;INFANTRY;Marines;;L.4.02|L.4.03;;;;
L.5.07;L;5;Land;Breakthrough Doctrine;First round tank hits may not be assigned to tanks.;Upgrade;CORE;;TANK;Tanks;Encourages armored pushes;L.4.02|L.4.03;;;;
L.6.01;L;6;Land;Nuclear bunkers;Infantry present will survive nuclear apocalypse.;Upgrade;NUCLEAR;;NUCLEAR;Bunkers;;L.5.01|L.5.02;;;;
L.6.02;L;6;Land;Defensive Fortifications;Place 1 free bunker per turn in controlled territory.;Bonus;CORE;;BUNKER;;;L.5.01|L.5.02;;;;
L.6.03;L;6;Land;Artillery Fire Control;Artillery attack at 3 when paired.;Upgrade;CORE;;RAIL;Artillery;;L.5.03;;;;
L.6.04;L;6;Land;Mobile Mechanized infantry;Each mechanized infantry unit may pull an artillery unit up to 2 spaces during the combat movement phase, or non combat movement phase (both units must originate from the same territory).;Upgrade;CORE;;INFANTRY;Mechanized Infantry;;L.5.04|L.5.05;;;;
L.6.05;L;6;Land;Improved Tanks;All tanks now attack +1;Upgrade;CORE;;TANK;Tanks;;L.5.07;;;;
L.6.06;L;6;Land;Commandos;Can be dropped in enemy territories behind enemy lines and occupy territory, need to be dropped by transport planes or tactical bombers capable of dropping paratroopers.;Unit;CORE;;INFANTRY;Commandos;;L.5.06|A.4.03;;;;
N.1.01;N;1;Naval;Improved Transport Capacity;Transport may carry two land units of ANY choice;Upgrade;CORE;;PRODUCTION, CARRIER, BATTLESHIP;Transports;;;;;;
N.1.02;N;1;Naval;Extended Range Submarines;Submarines gain +1 movement.;Upgrade;CORE;;NUCLEAR, SUBS, PRODUCTION, CARRIER, BATTLESHIP;Submarines;;;;;;
N.1.03;N;1;Naval;Sea mines;When entering a seazone with seamines roll a d6 on a 1 resolve a hit anywhere on the fleet entering the seazone.;Unit;CORE;;PRODUCTION, CARRIER, BATTLESHIP;Sea mines;;;;;;
N.1.04;N;1;Naval;Secret submarine harbour;Submarine secret harbours may be built in Neutral and enemy territories. To do so pay 10 IPC while at least one naval unit is present in the seazone during mobilization phase. If territory is or becomes occupied by one of your enemies, they roll one d6 every turn on a 1 remove the base. This base cannot be the target of bombardements.;Base;CORE;;SUBS, PRODUCTION, CARRIER, BATTLESHIP;Submarine Port;;;;;;
N.1.05;N;1;Naval;Jet Propulsion;Cruisers may move +2;Upgrade;CORE;;PRODUCTION, CARRIER, BATTLESHIP;Cruisers;;;;;;
N.2.01;N;2;Naval;Advanced Submarine Hulls;Submarines defend at 2 instead of 1.;Upgrade;CORE;;NUCLEAR, SUBS;Submarines;;N.1.02|N.1.04;;;;
